Paper Title,Year,Author,Publication,Url of paper,Source url
Classification of behaviour in housed dairy cows using an accelerometer-based activity monitoring system,2015,JA Vázquez Diosdado  ZE Barker… - Animal …,animalbiotelemetry.biomedcentral …,https://animalbiotelemetry.biomedcentral.com/articles/10.1186/s40317-015-0045-8,https://scholar.google.com/scholar?q=accelerometer+activity%20classification+classification%20algorithm+wildlife+&hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2023
Analysis of animal accelerometer data using hidden Markov models,2017,V Leos‐Barajas  T Photopoulou… - Methods in Ecology …,Wiley Online Library,https://besjournals.onlinelibrary.wiley.com/doi/abs/10.1111/2041-210X.12657,https://scholar.google.com/scholar?q=accelerometer+activity%20classification+classification%20algorithm+wildlife+&hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2023
Using a three-axis accelerometer to identify and classify sheep behaviour at pasture,2016,FAP Alvarenga  I Borges,Elsevier,https://www.sciencedirect.com/science/article/pii/S0168159116301733,https://scholar.google.com/scholar?q=accelerometer+activity%20classification+classification%20algorithm+wildlife+&hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2023
A novel biomechanical approach for animal behaviour recognition using accelerometers,2019,P Chakravarty  G Cozzi,Wiley Online Library,https://besjournals.onlinelibrary.wiley.com/doi/abs/10.1111/2041-210x.13172,https://scholar.google.com/scholar?q=accelerometer+activity%20classification+classification%20algorithm+wildlife+&hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2023
An iot-based design using accelerometers in animal behavior recognition systems,2021,DN Tran  TN Nguyen,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/9319861/,https://scholar.google.com/scholar?q=accelerometer+activity%20classification+classification%20algorithm+wildlife+&hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2023
Categorising sheep activity using a tri-axial accelerometer,2018,J Barwick  DW Lamb,Elsevier,https://www.sciencedirect.com/science/article/pii/S0168169917311468,https://scholar.google.com/scholar?q=accelerometer+activity%20classification+classification%20algorithm+wildlife+&hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2023
Tri-axial accelerometers quantify behaviour in the Eurasian badger (Meles meles): towards an automated interpretation of field data,2014,DW McClune  NJ Marks… - Animal …,animalbiotelemetry.biomedcentral …,https://animalbiotelemetry.biomedcentral.com/articles/10.1186/2050-3385-2-5,https://scholar.google.com/scholar?q=accelerometer+activity%20classification+classification%20algorithm+wildlife+&hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2023
Identifying sheep activity from tri-axial acceleration signals using a moving window classification model,2020,J Barwick  DW Lamb,mdpi.com,https://www.mdpi.com/2072-4292/12/4/646,https://scholar.google.com/scholar?q=accelerometer+activity%20classification+classification%20algorithm+wildlife+&hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2023
Dog activity classification with movement sensor placed on the collar,2018,P Kumpulainen  A Valldeoriola,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3295598.3295602,https://scholar.google.com/scholar?q=accelerometer+activity%20classification+classification%20algorithm+wildlife+&hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2023
Classification of ingestive-related cow behaviours using RumiWatch halter and neck-mounted accelerometers,2019,S Benaissa  FAM Tuyttens,Elsevier,https://www.sciencedirect.com/science/article/pii/S016815911830409X,https://scholar.google.com/scholar?q=accelerometer+activity%20classification+classification%20algorithm+wildlife+&hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2023
Classification of behaviour in housed dairy cows using an accelerometer-based activity monitoring system,2015,JA Vázquez Diosdado  ZE Barker… - Animal …,animalbiotelemetry.biomedcentral …,https://animalbiotelemetry.biomedcentral.com/articles/10.1186/s40317-015-0045-8,https://scholar.google.com/scholar?q=accelerometer+activity%20classification+classification%20algorithm+wildlife+&hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2023
Analysis of animal accelerometer data using hidden Markov models,2017,V Leos‐Barajas  T Photopoulou… - Methods in Ecology …,Wiley Online Library,https://besjournals.onlinelibrary.wiley.com/doi/abs/10.1111/2041-210X.12657,https://scholar.google.com/scholar?q=accelerometer+activity%20classification+classification%20algorithm+wildlife+&hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2023
Using a three-axis accelerometer to identify and classify sheep behaviour at pasture,2016,FAP Alvarenga  I Borges,Elsevier,https://www.sciencedirect.com/science/article/pii/S0168159116301733,https://scholar.google.com/scholar?q=accelerometer+activity%20classification+classification%20algorithm+wildlife+&hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2023
A novel biomechanical approach for animal behaviour recognition using accelerometers,2019,P Chakravarty  G Cozzi,Wiley Online Library,https://besjournals.onlinelibrary.wiley.com/doi/abs/10.1111/2041-210x.13172,https://scholar.google.com/scholar?q=accelerometer+activity%20classification+classification%20algorithm+wildlife+&hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2023
An iot-based design using accelerometers in animal behavior recognition systems,2021,DN Tran  TN Nguyen,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/9319861/,https://scholar.google.com/scholar?q=accelerometer+activity%20classification+classification%20algorithm+wildlife+&hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2023
Categorising sheep activity using a tri-axial accelerometer,2018,J Barwick  DW Lamb,Elsevier,https://www.sciencedirect.com/science/article/pii/S0168169917311468,https://scholar.google.com/scholar?q=accelerometer+activity%20classification+classification%20algorithm+wildlife+&hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2023
Tri-axial accelerometers quantify behaviour in the Eurasian badger (Meles meles): towards an automated interpretation of field data,2014,DW McClune  NJ Marks… - Animal …,animalbiotelemetry.biomedcentral …,https://animalbiotelemetry.biomedcentral.com/articles/10.1186/2050-3385-2-5,https://scholar.google.com/scholar?q=accelerometer+activity%20classification+classification%20algorithm+wildlife+&hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2023
Identifying sheep activity from tri-axial acceleration signals using a moving window classification model,2020,J Barwick  DW Lamb,mdpi.com,https://www.mdpi.com/2072-4292/12/4/646,https://scholar.google.com/scholar?q=accelerometer+activity%20classification+classification%20algorithm+wildlife+&hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2023
Dog activity classification with movement sensor placed on the collar,2018,P Kumpulainen  A Valldeoriola,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3295598.3295602,https://scholar.google.com/scholar?q=accelerometer+activity%20classification+classification%20algorithm+wildlife+&hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2023
Classification of ingestive-related cow behaviours using RumiWatch halter and neck-mounted accelerometers,2019,S Benaissa  FAM Tuyttens,Elsevier,https://www.sciencedirect.com/science/article/pii/S016815911830409X,https://scholar.google.com/scholar?q=accelerometer+activity%20classification+classification%20algorithm+wildlife+&hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2023
